TEMP,DO,pH,NITRATE_N_NITRITE_N,ClassLabel
18.0,7.5,6.9,4.92,8
21.0,6.4213022120000005,7.785798526000001,2.55485258,7
28.3,4.2,7.0,1.04,6
10.56322016,4.0,7.056322016,4.436779842,0
25.0,5.3,7.7,0.38,4
22.0,6.493520454,7.7,2.574081815,7
21.76266216,6.535194598,7.854935134,1.0,7
23.0,7.0,7.4,0.9,6
28.0,6.9,7.7,0.57,4
27.0,6.8,6.0,0.53,6
19.37474623,7.0,7.168737311,2.278258229,8
23.0,7.9,7.8,0.0,3
17.5,5.2,7.3,1.4,8
24.3,4.0,6.7,0.4,6
23.0,6.8,7.0,0.645,6
28.0,7.0,6.8,0.32,6
28.6,6.9,7.7,0.46,4
29.0,5.4,7.3,0.06,6
28.0,3.0,7.1,1.87,1
11.43049133,7.0,7.120696699,3.854709176,2
27.0,6.8,7.0,0.149,6
28.5,7.4,6.9,0.56,5
30.0,6.6,7.8,0.01,4
22.0,6.7,7.8,1.02,7
25.3,7.2,7.5,0.3,5
19.187,4.0,7.86,0.24,3
10.70098183,3.0,7.105147274,5.7710800110000005,0
18.74521362,3.0,7.137260681,2.608762848,1
27.0,7.1,7.6,0.19,3
28.0,4.1,7.9,0.1,4
18.2,6.2,7.0,5.1,8
28.0,5.6,7.65,1.995,4
19.04533186,6.0,7.152266592999999,2.451200773,8
21.3,6.8,7.0,2.33,8
29.1,4.3,7.2,0.4,6
10.843723,6.0,7.0843723,4.156277002,2
18.0,6.1,6.0,2.73,8
22.8,6.0,7.6,0.51,4
20.8,6.6,7.5,0.0,8
23.3,5.3,7.2,4.0,6
10.24351384,3.0,7.0365270760000005,5.267865227,0
18.2,6.2,7.0,5.1,8
26.8,7.0,7.8,1.9,4
29.3,6.7,6.9,0.22,6
30.7,4.8,7.6,0.0,4
26.999,6.863,6.0,6.0,6
29.0,7.1,6.0,0.585,5
18.99603006,7.0,7.149801503,2.47708422,8
18.8,7.7,7.2,3.0,8
18.20484561,4.0,7.1102422810000006,2.892456054,5
25.1,6.7,7.6,0.2,4
28.0,6.8,7.0,0.32,6
26.0,6.7,6.2,0.4,6
20.5,5.1,7.6,6.6,7
28.7,7.0,6.9,0.3,6
27.9,6.7,7.0,0.29,6
17.2,7.0,7.7,0.0,7
18.83684154,7.028946727,7.811842212,0.551158356,7
28.25,7.675,6.875,3.367,5
28.5,6.9,8.0,2.1,4
27.5,6.3,7.6,1.86,4
23.0,7.8,7.4,0.1,5
28.7,7.0,6.9,0.3,6
21.0,5.9,7.775628498,3.458568447,7
23.4,7.8,7.9,0.0,3
26.0,6.4,6.7,0.34,6
20.0,7.58,7.03,2.65,8
10.50903932,7.0,7.050903932000001,4.490960682,2
27.0,4.0,6.6,0.39,6
28.0,5.9,6.7,0.5,6
25.0,7.1,7.0,0.1669999999999999,5
28.0,5.5,6.6,0.4,6
30.0,6.1,7.0,0.58,6
19.50013514,3.0,7.175006757,2.21242905,1
27.0,6.6,7.1,0.26,6
28.0,6.6,7.4,4.143,6
22.0,6.0,7.3,2.1,8
22.5,4.4,7.7,12.0,4
28.1,6.9,7.3,1.7,6
25.725,5.5,6.58,3.497,6
25.1,6.6,7.8,0.2,4
27.2,7.2,6.8,0.09,5
26.5,7.3,8.0,2.26,3
29.0,6.6,7.1,1.329,6
19.45791263,4.0,7.172895631,2.23459587,5
20.0,5.8,7.4,0.73,8
27.0,4.8,7.8,3.75,4
28.0,6.8,6.9,0.25,6
23.8,4.0,7.6,0.5,4
10.19257114,5.0,7.019257114,4.807428863999999,2
18.00072653,7.0,7.100036327000001,2.99961857,8
18.7775699,6.962266139,7.822955642999999,0.59916838,7
27.0,7.3,7.0,0.66,5
28.0,7.1,8.1,0.56,3
10.52398168,4.0,7.052398168,4.476018324,0
27.0,5.8,7.3,0.88,6
26.0,7.1,6.1,0.5,5
27.0,6.4,7.0,0.7,6
22.1,3.0,8.1,0.0,0
21.0,6.0,7.8,3.0,7
18.0,6.0,7.1,3.0,8
29.6,6.4,6.7,0.2,6
24.825,4.325,7.045,0.25,6
29.0,4.0,6.6,0.6,6
22.7,6.1,8.2,1.8,4
23.3,5.7,7.3,13.75,6
23.5,4.8,7.2,4.0,6
27.0,7.6,7.7,0.34,3
24.1,5.7,8.2,0.9,4
27.0,6.7,6.4,3.6,6
29.0,6.3,7.6,0.1,4
26.0,8.0,7.6,2.216,3
10.2372108,5.0,7.02372108,4.7627892,2
28.2,6.4,7.6,0.4,4
18.69026173,3.0,7.134513086,2.637612594,1
30.0,4.0,6.0,1.028,6
22.0,4.9,7.7,7.7,3
24.3,5.0,7.3,6.2,6
11.13387361,4.0,7.170081041,6.247260969,0
19.09612413,5.0,7.154806206,2.424534832,8
21.0,6.22298995,7.62298995,2.264484925,7
20.0,5.9,7.2,2.05,8
31.0,7.3,7.0,0.138,3
23.0,6.4,7.4,1.262,6
26.0,7.6,8.1,1.43,3
28.0,6.4,7.0,1.837,6
10.59284053,5.0,7.059284053,4.40715947,2
28.0,5.8,7.5,0.25,6
22.0,6.6,7.2,0.83,8
10.12477072,3.0,7.012477072,4.875229281,0
27.3,6.7,7.4,0.3,6
28.0,6.2,7.7,0.2,4
28.8,6.0,7.8,0.2,4
29.0,6.7,6.9,0.2,6
21.0,6.21133605,7.61133605,2.247004075,7
25.5,7.2,7.5,0.0,5
25.5,7.3,6.5,0.6,5
25.0,3.1,7.6,3.7,0
18.57250106,4.0,7.128625053,2.699436946,5
29.1,6.2,8.2,2.3,4
18.8,7.6,7.2,2.0,8
23.1,7.2,7.2,4.5,5
24.975,6.5,7.33,0.33,6
30.0,6.0,7.6,1.654,4
28.0,7.4,7.0,0.614,5
28.0,4.4,7.1,1.17,6
29.9,5.7,6.9,0.14,6
26.9,5.8,7.1,1.6,6
26.0,6.6,6.3,1.07,6
24.0,6.5,7.2,0.17,6
29.0,5.6,6.9,1.72,6
28.0,6.9,7.4,6.0,6
24.0,7.7,6.0,0.386,5
10.20950278,7.0,7.020950278,4.790497217,2
26.8,5.0,8.2,2.0,4
29.0,6.7,7.35,0.973,6
23.0,6.9,7.2,2.318,6
10.04416707,4.0,7.00662506,5.048583775,0
29.3,6.5,6.7,1.25,6
28.0,7.0,6.8,0.66,6
22.0,7.984423607999999,8.299096525,0.659932524,7
20.6,6.5,7.1,3.56,8
28.0,6.4,8.0,0.5,4
27.4,5.9,7.4,0.4,6
27.8,6.0,7.9,0.4,4
30.8,6.3,7.0,1.0,4
28.0,5.5,8.4,0.0,4
19.67526075,4.0,7.183763037,2.120488108,5
10.5513971,5.0,7.05513971,4.448602903,2
18.809171600000003,3.0,7.14045858,2.575184909,1
27.0,7.3,6.9,0.09,5
25.0,7.0,7.38,3.55,6
23.7,7.4,7.7,0.3,3
17.4,7.9,7.3,1.5,8
30.0,6.0,7.3,0.475,6
22.0,6.5,8.2,0.05,7
30.0,4.3,7.4,0.687,6
19.86076758,3.0,7.193038379,2.023097019,1
29.5,7.1,8.2,0.2,3
28.0,5.5,7.5,2.297,6
19.21306595,7.0,7.1606532970000005,2.363140377,8
21.0,4.8,7.4,4.6,5
20.35388177,6.958447292000001,7.912329062,0.594794874,7
23.0,7.7,8.1,4.8,3
29.2,6.2,8.3,0.5,4
29.0,5.3,7.37,0.2019999999999999,6
18.41956642,3.0,7.120978321,2.779727631,1
19.08859833,7.0,7.154429917000001,2.428485875,8
21.25,5.87,7.84,1.927,7
30.0,4.7,8.3,0.5,4
29.5,6.4,8.2,2.0,4
25.5,4.0,7.7,2.8,4
28.0,5.8,6.5,0.37,6
11.29767152,6.0,7.114311131,3.899535863,2
26.0,6.5,6.4,0.13,6
26.8,6.1,7.7,1.0,4
25.0,5.8,7.7,12.0,4
27.0,4.2,7.6,0.18,4
26.0,5.0,7.6,0.0,4
29.3,5.9,8.3,0.4,4
29.0,4.0,7.8,1.45,4
28.667,7.1,7.507000000000001,0.21,3
10.17150124,7.0,7.025725186,5.188651366,2
10.65702271,5.0,7.065702271,4.34297729,2
25.0,6.4,7.1,0.47,6
28.0,7.2,7.2,0.14,5
30.2,7.4,6.9,0.0,3
22.1,6.9,7.5,2.0,6
27.0,6.7,7.6,0.76,4
14.16117673,6.312823712999999,7.867105861000001,17.16344787,7
25.0,5.6,6.8,0.06,6
24.5,3.0,8.1,0.0,0
23.0,6.2,7.0,1.416,6
19.912,6.2,6.63,0.444,8
10.14682157,7.0,7.022023235,5.161503727,2
22.0,5.5,6.0,1.12,8
24.0,4.88,7.94,2.378,4
28.8,7.3,7.3,2.43,5
28.7,7.0,6.8,0.8,6
10.42676171,7.0,7.042676171,4.57323829,2
26.6,6.9,7.1,0.18,6
28.8,7.6,6.2,0.38,5
17.38866205,5.788713091,7.861108276,1.282982572,7
19.5,4.9,7.7,4.2,3
21.0,6.691944387,8.033555509,2.290605603,7
11.0400815,6.0,7.156012225,6.144089649,2
18.861652,4.0,7.1430826000000005,2.547632701,5
23.7,5.0,7.3,0.0,6
21.0,6.29118923,7.69118923,2.366783844,7
28.1,4.8,6.8,0.8,6
27.0,7.3,6.1,0.2,5
28.0,6.5,6.3,0.22,6
26.8,6.6,7.8,1.8,4
28.0,7.1,7.0,0.71,5
25.0,7.7,6.6,0.15,5
27.0,7.3,6.0,0.603,5
24.6,3.0,7.5,0.9,1
19.36156038,7.0,7.168078019,2.2851807980000003,8
29.8,7.5,7.2,0.1,5
16.5,5.1,7.85,1.65,7
26.0,7.5,7.2,0.648,5
24.5,7.6,8.1,0.6,3
25.3,5.8,7.8,0.24,4
25.0,5.0,7.6,6.1,4
29.4,7.2,8.3,0.2,3
26.0,3.0,7.4,0.47,1
10.51643262,5.0,7.051643262000001,4.483567382,2
27.0,3.9,7.0,0.512,1
18.36745811,7.0,7.118372905,2.807084493,8
27.3,6.5,6.5,0.4,6
28.0,7.2,6.7,0.28,5
28.0,6.4,6.7,0.1,6
27.0,7.1,7.4,0.72,5
27.0,6.233,6.9,1.267,6
28.0,6.7,6.6,0.22,6
28.7,4.1,7.9,2.0,4
28.0,6.8,7.12,0.198,6
20.09500594,5.504994062000001,8.004994062,7.004994062000001,7
16.0,7.6,7.0,3.01,8
30.2,5.8,7.8,2.61,4
23.6,5.0,6.8,0.0,6
29.9,7.2,7.9,0.2,3
27.8,7.1,5.9,0.28,1
27.8,3.0,7.2,0.0,1
28.2,7.2,7.7,1.0,3
29.0,7.0,6.2,0.45,6
26.6,5.8,6.9,2.4,6
20.8,7.3,7.0,0.69,8
27.0,7.8,6.4,0.851,5
29.0,6.8,6.5,0.15,6
27.0,6.9,7.0,0.1639999999999999,6
26.6,6.1,7.4,1.98,6
30.1,6.6,7.4,3.6,4
24.0,5.5,7.4,6.8,6
19.44309877,6.0,7.172154939,2.242373146,8
27.0,7.6,6.6,0.25,5
28.0,6.5,7.9,3.8,4
29.0,6.8,7.5,0.6,6
24.6,5.8,7.4,0.8,6
28.3,7.3,7.1,1.17,5
30.0,7.5,7.35,0.745,5
29.0,6.5,7.5,0.4,6
29.0,5.0,8.4,0.0,4
10.08733154,7.0,7.008733154,4.9126684560000005,2
18.15055125,7.0,7.1075275620000005,2.920960596,8
24.9,7.9,8.0,0.0,3
30.0,6.7,6.9,19.4,6
19.6,7.7,7.2,2.0,8
20.42540472,6.92983811,7.955242835,0.646291401,7
20.743,6.869,6.9,0.0,8
21.94508039,6.745080392,7.709839217000001,0.914347256,7
21.0,6.1,7.8,2.9,7
18.23439791,5.0,7.111719896,2.876941095,8
23.0,6.9,7.5,3.93,6
28.3,5.9,6.6,0.18,6
28.0,6.9,7.0,0.21,6
15.27768868,6.72974842,7.181803147999999,1.120331763,7
29.0,4.0,7.5,1.093,6
26.5,6.4,7.4,2.89,6
22.33,6.7,8.12,0.15,4
28.2,6.6,6.5,0.14,6
21.0,7.4,6.0,0.64,8
24.5,6.0,8.0,2.0,4
22.0,7.878153475,7.9,0.271846525,7
23.4,3.0,7.6,0.0,0
24.5,6.6,6.4,0.2,6
28.5,6.6,7.9,0.8,4
24.0,6.0,8.3,0.43,4
23.775,6.7,7.6,0.183,4
16.0,8.0,7.0,1.6,8
26.6,7.3,7.1,0.41,5
25.0,7.7,6.3,3.88,5
23.0,6.4,8.0,3.91,4
11.26515198,6.0,7.112747691,3.910511208,2
27.0,7.2,7.9,1.2,3
10.71178122,4.0,7.071178122,4.288218781,0
23.0,7.3,7.8,1.647,3
18.178,4.2,7.0,0.0,5
28.8,5.2,7.9,1.1,4
10.20123768,5.0,7.020123768,4.7987623180000005,2
23.9,7.8,7.3,2.99,5
14.64268833,7.0,7.275129247000001,2.770592688,7
24.0,3.0,7.9,4.408,0
26.3,4.7,8.4,11.5,4
27.6,6.6,6.9,0.37,6
19.38807867,7.0,7.169403934,2.271258696,8
10.89281872,6.0,7.089281872000001,4.107181276,2
19.94437312,7.0,7.530017937999999,0.981274072,7
20.0,7.3,7.3,3.0,8
29.3,7.4,6.8,0.4,5
18.02246837,4.0,7.101123417999999,2.9882041060000004,5
32.0,7.8,7.0,2.703,3
18.78144849,6.0,7.139072425,2.589739541,8
10.16711511,4.0,7.0167115110000005,4.832884893999999,0
25.1,6.6,7.8,0.2,4
21.97725658,6.777256584,7.645486833,0.853212491,7
24.5,7.6,7.5,0.0,5
17.8,7.9,7.3,1.0,8
29.0,7.8,6.69,0.348,5
24.5,7.1,7.3,0.1,5
29.0,6.8,6.0,0.342,6
22.666,6.7,6.93,0.77,6
24.312,7.1,6.98,0.152,5
18.5829909,4.0,7.129149545,2.693929777,5
27.0,6.7,7.56,0.447,4
29.0,7.0,7.6,1.898,4
24.7,7.8,7.9,0.0,3
10.55006622,4.0,7.0550066220000005,4.449933779,0
19.53652631,7.0,7.176826315,2.193323689,8
29.5,5.3,6.8,0.3,6
10.88117693,3.0,7.088117692999999,4.118823066,0
22.77,7.5,6.0,0.568,5
29.0,6.1,8.33,1.975,4
21.7,5.2,7.0,1.5,8
10.60546871,3.0,7.060546871000001,4.394531291,0
25.3,4.7,7.8,0.0,4
21.0,7.6,7.9,1.4,7
19.0,5.8,7.8,0.85,7
15.61853767,4.0,7.32204508,2.441243535,3
11.09628282,5.0,7.164442423,6.205911102999999,2
10.5097844,6.0,7.076467661000001,5.560762844,2
24.7,5.3,8.2,0.7,4
21.9,7.0,7.6,0.4,7
18.66374883,7.0,7.1331874410000005,2.651531867,8
29.3,7.6,6.8,0.31,5
26.0,6.5,7.8,1.99,4
21.0,6.294964467000001,7.694964467,2.372446701,7
10.75636901,4.0,7.075636901,4.243630994,0
27.6,6.9,8.1,2.26,4
23.3,7.0,7.4,0.0,6
23.0,7.0,7.7,0.93,4
18.2,7.2,7.0,3.7,8
23.3,6.0,6.7,0.0,6
26.0,4.4,7.3,0.15,6
23.299,5.4,6.85,0.457,6
25.3,7.2,7.0,0.0,5
18.59613399,6.758150735,7.856974877000001,0.746131471,7
18.98485594,4.0,7.149242797,2.4829506340000003,5
29.3,6.2,7.2,0.39,6
30.8,6.8,7.8,0.67,4
28.5,6.9,7.0,0.08,6
24.4,5.4,8.1,2.7,4
33.3,4.8,8.3,6.0,3
24.8,7.4,7.0,0.05,5
26.75,6.9670000000000005,6.933,0.4,6
26.7,6.4,6.4,1.0,6
29.0,7.4,7.1,0.713,5
20.03539314,5.0,7.534393901,0.950554814,7
18.9,7.1,7.8,0.5,7
21.0,5.9,7.773288135,3.45458983,7
24.8,6.5,7.3,0.55,6
10.55192758,5.0,7.055192758,4.448072422,2
27.0,4.8,7.2,2.08,6
24.0,3.0,6.95,2.6,1
18.5,6.65,7.875,0.8240000000000001,7
23.0,7.6,7.5,1.754,5
30.0,6.2,7.4,3.2,6
28.0,4.2,6.5,0.39,6
11.93836902,7.0,7.290755353,7.132205923,2
29.3,6.8,7.7,4.57,4
26.8,5.9,8.1,0.2,4
30.7,6.9,6.8,0.2,4
29.0,7.0,6.0,0.163,6
28.667,6.8,7.042999999999999,0.153,6
29.4,5.4,7.6,0.1,4
22.6,7.0,7.9,0.0,4
26.0,6.6,6.7,0.32,6
27.0,7.0,6.6,0.37,6
18.333,4.033,7.667000000000001,1.767,3
28.0,6.9,6.44,0.231,6
28.6,6.3,8.0,0.3,4
21.0,5.5,7.4,5.08,8
10.12900214,7.0,7.019350321,5.141902354,2
10.30370624,4.0,7.030370624,4.696293762,0
23.8,7.1,6.8,0.22,5
23.7,5.6,7.9,0.8,4
28.0,7.0,6.9,0.17,6
26.3,7.4,7.0,0.26,5
19.66951679,7.0,7.18347584,2.123503683,8
29.0,7.0,7.3,0.18,6
30.2,6.9,6.5,0.6,4
20.5,6.9,8.0,0.7,7
25.0,7.0,7.7,0.08,4
10.18516103,6.0,7.018516103,4.814838965,2
28.0,5.5,7.7,0.72,4
30.8,5.5,7.1,0.09,4
28.0,7.3,6.6,0.41,5
21.6,7.5,8.1,0.4,7
22.0,6.7129801460000005,7.762596029,2.106105956,7
28.1,5.0,6.9,0.4,6
18.08191697,5.0,7.104095847999999,2.956993593,8
28.0,5.5,8.1,1.0,4
25.8,7.2,7.9,0.3,3
20.5,4.7,6.7,7.7,5
27.2,6.9,7.5,0.54,6
10.90905266,6.0,7.136357899,5.9999579270000005,2
22.0,6.440909711000001,7.7,2.363638845,7
15.65076975,6.304769074,7.619523093,13.30999951,7
19.73412209,3.0,7.186706104,2.089585904,1
18.19255223,3.0,7.1096276110000005,2.89891008,1
21.0,4.4,7.2,3.75,5
11.95392007,4.0,7.29308801,7.149312077,0
27.6,6.8,8.2,0.87,4
26.5,7.2,7.1,0.15,5
10.571927699999998,3.0,7.05719277,4.428072304,0
15.0,7.1,7.03,1.0,7
26.0,5.1,6.3,3.1,6
10.92213737,3.0,7.092213737000001,4.077862632,0
29.0,7.3,6.9,0.2,5
20.7,6.3,8.3,1.58,7
23.0,7.0,8.0,0.0,4
23.0,7.7,8.1,0.3,3
29.0,7.2,6.0,0.366,5
28.0,6.9,7.8,0.86,4
27.0,4.1,7.57,0.302,4
30.0,7.7,8.1,0.9,3
26.4,6.9,8.0,0.8,4
19.60499567,3.0,7.180249784,2.1573772730000003,1
26.0,6.9,6.6,1.4,6
28.0,6.7,6.8,0.4,6
27.0,6.2,7.4,0.2,6
28.5,5.9,7.9,3.0,4
25.0,7.1,7.0,0.411,5
25.0,7.4,7.6,1.706,3
18.9,3.0,7.1,1.644,1
25.0,7.7,7.3,1.953,5
26.5,7.3,7.9,2.23,3
28.0,7.5,7.0,2.729,5
24.8,6.7,7.5,1.0,6
10.66484044,7.0,7.099726066000001,5.731324484,2
16.18358704,3.0,7.349210915,2.250539374,1
18.01525258,5.0,7.100762629,2.991992396,8
29.0,5.4,7.6,0.07,4
18.74098723,6.0,7.137049362000001,2.610981702,8
29.0,6.9,7.7,0.37,4
28.7,7.0,7.6,1.0,4
18.7,7.7,8.2,0.0,7
26.5,7.4,7.9,0.8,3
19.333,6.7,7.44,0.65,8
22.0,8.0,8.31,0.655,7
10.78616573,6.0,7.078616573,4.213834267,2
26.2,6.6,7.3,0.39,6
22.547,7.661,7.2,0.0,5
26.8,7.5,8.0,1.89,3
26.4,6.8,7.7,0.43,4
18.61626065,7.0,7.130813032000001,2.676463159,8
29.0,4.9,6.6,0.76,6
27.4,7.0,8.0,0.49,4
27.6,6.6,8.1,0.3,4
25.8,6.0,7.6,1.1,4
20.2,7.3,7.2,3.3,8
27.0,6.2,7.7,1.56,4
14.46150302,6.523052114,7.843079757999999,16.74689531,7
28.8,6.6,7.0,0.3,6
28.7,6.7,6.6,0.22,6
30.4,5.5,7.7,0.08,4
31.0,3.6,7.0,0.09,0
26.9,6.6,7.4,0.74,6
27.0,7.0,7.2,0.46,6
28.0,7.0,6.3,0.31,6
22.0,4.3,7.5,7.65,5
22.3,7.3,7.9,2.0,3
27.3,6.3,8.1,0.4,4
12.73740697,6.0,7.183529181,3.413625149,2
27.8,5.3,6.4,0.11,6
22.3,7.9,7.8,0.0,3
28.0,7.0,7.2,0.3,6
27.4,6.6,7.8,0.9,4
26.0,7.6,7.3,0.03,5
10.86307282,6.0,7.086307282000001,4.136927182,2
10.73221686,4.0,7.073221686,4.267783135,0
19.474,7.0,7.315,2.369,8
26.2,7.2,7.5,0.9,5
30.1,6.0,7.6,0.17,4
21.86401619,6.656819429,7.814393524,1.0,7
30.3,5.3,7.3,0.08,4
27.0,5.9,7.4,0.4,6
10.84899027,4.0,7.0848990270000005,4.151009731,0
27.9,6.7,6.4,0.1,6
26.0,7.0,7.7,0.13,4
29.0,5.2,7.0,0.35,6
26.0,7.0,7.0,0.3,6
23.2,4.4,8.1,1.0,4
18.03382211,4.0,7.1016911060000005,2.98224339,5
21.0,5.9,7.8,3.5,7
19.82020736,7.0,7.191010368,2.044391135,8
23.9,6.2,8.1,0.7,4
18.27613374,3.0,7.113806687,2.855029785,1
27.0,7.3,8.0,0.69,3
30.6,6.7,7.5,0.1,4
28.6,6.6,7.6,0.7,4
18.83423296,6.081803967000001,7.824865056,0.841380114,7
30.0,7.9,7.9,0.21,3
28.0,6.0,6.2,0.48,6
28.5,6.3,8.4,0.9,4
19.95499462,3.0,7.197749731,1.973627822,1
19.90966095,5.6632373320000005,8.095483048,7.442384982,7
25.7,7.2,7.9,0.3,3
17.0,3.0,8.0,0.0,0
21.5,7.5,5.7,2.21,1
27.9,6.7,6.8,0.53,6
24.5,6.7,7.7,3.0,4
24.519,7.323,7.76,5.657,3
27.0,6.8,6.6,0.2,6
18.6758813,7.0,7.133794065,2.64516232,8
28.0,6.6,7.5,0.25,6
14.46341004,6.524387025,7.842927197000001,16.74425028,7
29.0,6.0,6.7,0.29,6
28.7,6.9,7.4,0.27,6
24.0,7.1,7.4,0.07,5
28.0,7.3,7.3,0.08,5
27.6,7.1,7.3,0.84,5
10.15863708,7.0,7.015863708,4.841362922,2
18.0,4.9,7.4,4.77,5
11.52235928,3.0,7.1251134270000005,3.823703744,0
17.0,7.7,7.1,2.89,8
23.3,7.7,7.7,0.3,3
15.0,7.1,7.03,1.0,7
10.69447024,3.0,7.069447024,4.305529764,0
11.19999701,5.0,7.179999552000001,6.319996716,2
22.0,7.743067217999999,8.130147052,0.7363620479999999,7
29.5,7.1,8.0,0.4,3
10.29495682,5.0,7.029495682,4.705043178,2
25.2,7.8,7.2,1.77,5
20.749,7.263,7.29,2.761,8
25.0,7.5,7.53,0.5670000000000001,3
22.5,4.6,7.4,4.0,6
25.0,6.5,7.4,1.9,6
28.4,3.5,8.1,0.0,0
28.0,7.1,8.0,0.02,3
21.82771567,6.613258804,7.828913732,1.0,7
26.2,6.9,7.2,0.18,6
29.4,5.4,7.6,0.1,4
20.0,4.8,7.4,4.7,5
25.2,7.5,7.3,2.8,5
10.49750272,5.0,7.049750272000001,4.50249728,2
29.0,3.0,7.6,1.31,0
27.3,6.8,8.5,0.11,4
26.427,4.2,7.0,4.0,6
21.90696019,5.419779857999999,7.779158317,0.921061825,7
27.5,5.6,6.9,0.4,6
19.02498676,7.0,7.151249338,2.461881953,8
19.47168666,3.0,7.173584332999999,2.227364503,1
26.8,7.1,7.4,0.5,5
21.0,6.047449993,7.8,2.952550007,7
28.0,6.8,6.0,0.307,6
18.60268235,6.0,7.130134118,2.683591765,8
20.88917097,6.678341931,8.236943011000001,1.920507738,7
15.084,6.6,7.75,0.505,7
15.529,6.3,7.15,0.223,7
10.42259424,7.0,7.042259424,4.577405763,2
15.71983819,6.284048543,7.621595146000001,13.44903427,7
27.3,5.3,8.0,2.9,4
