image_paths,image_names,act_lables,pred_labels,act_vals,pred_vals,top_unseen_labels,unseen_pred_vals
awa_data\unseen\chimpanzee\chimpanzee_10001.jpg,chimpanzee_10001.jpg,chimpanzee,gorilla,0,5,"['chimpanzee', 'hippopotamus', 'raccoon', 'humpback_whale', 'rat']",0
awa_data\unseen\chimpanzee\chimpanzee_10002.jpg,chimpanzee_10002.jpg,chimpanzee,monkey,0,8,"['chimpanzee', 'rat', 'leopard', 'raccoon', 'giant_panda']",0
awa_data\unseen\chimpanzee\chimpanzee_10003.jpg,chimpanzee_10003.jpg,chimpanzee,mouse,0,9,"['rat', 'leopard', 'raccoon', 'hippopotamus', 'pig']",9
awa_data\unseen\chimpanzee\chimpanzee_10004.jpg,chimpanzee_10004.jpg,chimpanzee,gorilla,0,5,"['chimpanzee', 'hippopotamus', 'raccoon', 'humpback_whale', 'rat']",0
awa_data\unseen\chimpanzee\chimpanzee_10005.jpg,chimpanzee_10005.jpg,chimpanzee,gorilla,0,5,"['chimpanzee', 'hippopotamus', 'raccoon', 'humpback_whale', 'rat']",0
awa_data\unseen\chimpanzee\chimpanzee_10006.jpg,chimpanzee_10006.jpg,chimpanzee,monkey,0,8,"['chimpanzee', 'rat', 'leopard', 'raccoon', 'giant_panda']",0
awa_data\unseen\chimpanzee\chimpanzee_10007.jpg,chimpanzee_10007.jpg,chimpanzee,monkey,0,8,"['chimpanzee', 'rat', 'leopard', 'raccoon', 'giant_panda']",0
awa_data\unseen\chimpanzee\chimpanzee_10008.jpg,chimpanzee_10008.jpg,chimpanzee,monkey,0,8,"['chimpanzee', 'rat', 'leopard', 'raccoon', 'giant_panda']",0
awa_data\unseen\chimpanzee\chimpanzee_10009.jpg,chimpanzee_10009.jpg,chimpanzee,ox,0,10,"['leopard', 'pig', 'rat', 'humpback_whale', 'persian_cat']",10
awa_data\unseen\chimpanzee\chimpanzee_10010.jpg,chimpanzee_10010.jpg,chimpanzee,monkey,0,8,"['chimpanzee', 'rat', 'leopard', 'raccoon', 'giant_panda']",0
awa_data\unseen\giant_panda\giant+panda_10001.jpg,giant+panda_10001.jpg,giant_panda,bear,1,0,"['rat', 'pig', 'raccoon', 'leopard', 'humpback_whale']",0
awa_data\unseen\giant_panda\giant+panda_10002.jpg,giant+panda_10002.jpg,giant_panda,squirrel,1,15,"['rat', 'raccoon', 'pig', 'chimpanzee', 'hippopotamus']",15
awa_data\unseen\giant_panda\giant+panda_10003.jpg,giant+panda_10003.jpg,giant_panda,bear,1,0,"['rat', 'pig', 'raccoon', 'leopard', 'humpback_whale']",0
awa_data\unseen\giant_panda\giant+panda_10004.jpg,giant+panda_10004.jpg,giant_panda,skunk,1,14,"['rat', 'raccoon', 'pig', 'hippopotamus', 'leopard']",14
awa_data\unseen\giant_panda\giant+panda_10005.jpg,giant+panda_10005.jpg,giant_panda,squirrel,1,15,"['rat', 'raccoon', 'pig', 'chimpanzee', 'hippopotamus']",15
awa_data\unseen\giant_panda\giant+panda_10006.jpg,giant+panda_10006.jpg,giant_panda,monkey,1,8,"['chimpanzee', 'rat', 'leopard', 'raccoon', 'giant_panda']",1
awa_data\unseen\giant_panda\giant+panda_10007.jpg,giant+panda_10007.jpg,giant_panda,skunk,1,14,"['rat', 'raccoon', 'pig', 'hippopotamus', 'leopard']",14
awa_data\unseen\giant_panda\giant+panda_10008.jpg,giant+panda_10008.jpg,giant_panda,monkey,1,8,"['chimpanzee', 'rat', 'leopard', 'raccoon', 'giant_panda']",1
awa_data\unseen\giant_panda\giant+panda_10009.jpg,giant+panda_10009.jpg,giant_panda,siamese_cat,1,13,"['persian_cat', 'humpback_whale', 'giant_panda', 'rat', 'pig']",1
awa_data\unseen\giant_panda\giant+panda_10010.jpg,giant+panda_10010.jpg,giant_panda,monkey,1,8,"['chimpanzee', 'rat', 'leopard', 'raccoon', 'giant_panda']",1
awa_data\unseen\hippopotamus\hippopotamus_10001.jpg,hippopotamus_10001.jpg,hippopotamus,cow,2,3,"['pig', 'raccoon', 'humpback_whale', 'rat', 'chimpanzee']",3
awa_data\unseen\hippopotamus\hippopotamus_10002.jpg,hippopotamus_10002.jpg,hippopotamus,mouse,2,9,"['rat', 'leopard', 'raccoon', 'hippopotamus', 'pig']",2
awa_data\unseen\hippopotamus\hippopotamus_10003.jpg,hippopotamus_10003.jpg,hippopotamus,bear,2,0,"['rat', 'pig', 'raccoon', 'leopard', 'humpback_whale']",0
awa_data\unseen\hippopotamus\hippopotamus_10004.jpg,hippopotamus_10004.jpg,hippopotamus,cow,2,3,"['pig', 'raccoon', 'humpback_whale', 'rat', 'chimpanzee']",3
awa_data\unseen\hippopotamus\hippopotamus_10005.jpg,hippopotamus_10005.jpg,hippopotamus,skunk,2,14,"['rat', 'raccoon', 'pig', 'hippopotamus', 'leopard']",2
awa_data\unseen\hippopotamus\hippopotamus_10006.jpg,hippopotamus_10006.jpg,hippopotamus,rhinoceros,2,12,"['raccoon', 'hippopotamus', 'humpback_whale', 'leopard', 'chimpanzee']",2
awa_data\unseen\hippopotamus\hippopotamus_10007.jpg,hippopotamus_10007.jpg,hippopotamus,walrus,2,17,"['humpback_whale', 'leopard', 'persian_cat', 'raccoon', 'rat']",17
awa_data\unseen\hippopotamus\hippopotamus_10008.jpg,hippopotamus_10008.jpg,hippopotamus,blue_whale,2,1,"['humpback_whale', 'giant_panda', 'pig', 'seal', 'leopard']",1
awa_data\unseen\hippopotamus\hippopotamus_10009.jpg,hippopotamus_10009.jpg,hippopotamus,walrus,2,17,"['humpback_whale', 'leopard', 'persian_cat', 'raccoon', 'rat']",17
awa_data\unseen\hippopotamus\hippopotamus_10010.jpg,hippopotamus_10010.jpg,hippopotamus,rhinoceros,2,12,"['raccoon', 'hippopotamus', 'humpback_whale', 'leopard', 'chimpanzee']",2
awa_data\unseen\humpback_whale\humpback+whale_10001.jpg,humpback+whale_10001.jpg,humpback_whale,dolphin,3,4,"['humpback_whale', 'leopard', 'rat', 'raccoon', 'seal']",3
awa_data\unseen\humpback_whale\humpback+whale_10002.jpg,humpback+whale_10002.jpg,humpback_whale,blue_whale,3,1,"['humpback_whale', 'giant_panda', 'pig', 'seal', 'leopard']",3
awa_data\unseen\humpback_whale\humpback+whale_10003.jpg,humpback+whale_10003.jpg,humpback_whale,killer_whale,3,6,"['humpback_whale', 'giant_panda', 'pig', 'rat', 'seal']",3
awa_data\unseen\humpback_whale\humpback+whale_10004.jpg,humpback+whale_10004.jpg,humpback_whale,blue_whale,3,1,"['humpback_whale', 'giant_panda', 'pig', 'seal', 'leopard']",3
awa_data\unseen\humpback_whale\humpback+whale_10005.jpg,humpback+whale_10005.jpg,humpback_whale,cow,3,3,"['pig', 'raccoon', 'humpback_whale', 'rat', 'chimpanzee']",3
awa_data\unseen\humpback_whale\humpback+whale_10006.jpg,humpback+whale_10006.jpg,humpback_whale,killer_whale,3,6,"['humpback_whale', 'giant_panda', 'pig', 'rat', 'seal']",3
awa_data\unseen\humpback_whale\humpback+whale_10007.jpg,humpback+whale_10007.jpg,humpback_whale,blue_whale,3,1,"['humpback_whale', 'giant_panda', 'pig', 'seal', 'leopard']",3
awa_data\unseen\humpback_whale\humpback+whale_10008.jpg,humpback+whale_10008.jpg,humpback_whale,cow,3,3,"['pig', 'raccoon', 'humpback_whale', 'rat', 'chimpanzee']",3
awa_data\unseen\humpback_whale\humpback+whale_10009.jpg,humpback+whale_10009.jpg,humpback_whale,killer_whale,3,6,"['humpback_whale', 'giant_panda', 'pig', 'rat', 'seal']",3
awa_data\unseen\humpback_whale\humpback+whale_10010.jpg,humpback+whale_10010.jpg,humpback_whale,killer_whale,3,6,"['humpback_whale', 'giant_panda', 'pig', 'rat', 'seal']",3
awa_data\unseen\leopard\leopard_10001.jpg,leopard_10001.jpg,leopard,bobcat,4,2,"['leopard', 'pig', 'humpback_whale', 'giant_panda', 'rat']",4
awa_data\unseen\leopard\leopard_10002.jpg,leopard_10002.jpg,leopard,bobcat,4,2,"['leopard', 'pig', 'humpback_whale', 'giant_panda', 'rat']",4
awa_data\unseen\leopard\leopard_10003.jpg,leopard_10003.jpg,leopard,bobcat,4,2,"['leopard', 'pig', 'humpback_whale', 'giant_panda', 'rat']",4
awa_data\unseen\leopard\leopard_10004.jpg,leopard_10004.jpg,leopard,bobcat,4,2,"['leopard', 'pig', 'humpback_whale', 'giant_panda', 'rat']",4
awa_data\unseen\leopard\leopard_10005.jpg,leopard_10005.jpg,leopard,lion,4,7,"['leopard', 'raccoon', 'giant_panda', 'persian_cat', 'chimpanzee']",4
awa_data\unseen\leopard\leopard_10006.jpg,leopard_10006.jpg,leopard,bobcat,4,2,"['leopard', 'pig', 'humpback_whale', 'giant_panda', 'rat']",4
awa_data\unseen\leopard\leopard_10007.jpg,leopard_10007.jpg,leopard,bobcat,4,2,"['leopard', 'pig', 'humpback_whale', 'giant_panda', 'rat']",4
awa_data\unseen\leopard\leopard_10008.jpg,leopard_10008.jpg,leopard,tiger,4,16,"['leopard', 'rat', 'pig', 'chimpanzee', 'persian_cat']",4
awa_data\unseen\leopard\leopard_10009.jpg,leopard_10009.jpg,leopard,tiger,4,16,"['leopard', 'rat', 'pig', 'chimpanzee', 'persian_cat']",4
awa_data\unseen\leopard\leopard_10010.jpg,leopard_10010.jpg,leopard,lion,4,7,"['leopard', 'raccoon', 'giant_panda', 'persian_cat', 'chimpanzee']",4
awa_data\unseen\persian_cat\persian+cat_10001.jpg,persian+cat_10001.jpg,persian_cat,mouse,5,9,"['rat', 'leopard', 'raccoon', 'hippopotamus', 'pig']",9
awa_data\unseen\persian_cat\persian+cat_10002.jpg,persian+cat_10002.jpg,persian_cat,rabbit,5,11,"['rat', 'pig', 'raccoon', 'chimpanzee', 'humpback_whale']",11
awa_data\unseen\persian_cat\persian+cat_10003.jpg,persian+cat_10003.jpg,persian_cat,walrus,5,17,"['humpback_whale', 'leopard', 'persian_cat', 'raccoon', 'rat']",5
awa_data\unseen\persian_cat\persian+cat_10004.jpg,persian+cat_10004.jpg,persian_cat,cow,5,3,"['pig', 'raccoon', 'humpback_whale', 'rat', 'chimpanzee']",3
awa_data\unseen\persian_cat\persian+cat_10005.jpg,persian+cat_10005.jpg,persian_cat,rabbit,5,11,"['rat', 'pig', 'raccoon', 'chimpanzee', 'humpback_whale']",11
awa_data\unseen\persian_cat\persian+cat_10006.jpg,persian+cat_10006.jpg,persian_cat,tiger,5,16,"['leopard', 'rat', 'pig', 'chimpanzee', 'persian_cat']",5
awa_data\unseen\persian_cat\persian+cat_10007.jpg,persian+cat_10007.jpg,persian_cat,siamese_cat,5,13,"['persian_cat', 'humpback_whale', 'giant_panda', 'rat', 'pig']",5
awa_data\unseen\persian_cat\persian+cat_10008.jpg,persian+cat_10008.jpg,persian_cat,lion,5,7,"['leopard', 'raccoon', 'giant_panda', 'persian_cat', 'chimpanzee']",5
awa_data\unseen\persian_cat\persian+cat_10009.jpg,persian+cat_10009.jpg,persian_cat,mouse,5,9,"['rat', 'leopard', 'raccoon', 'hippopotamus', 'pig']",9
awa_data\unseen\persian_cat\persian+cat_10010.jpg,persian+cat_10010.jpg,persian_cat,blue_whale,5,1,"['humpback_whale', 'giant_panda', 'pig', 'seal', 'leopard']",1
awa_data\unseen\pig\pig_10001.jpg,pig_10001.jpg,pig,bear,6,0,"['rat', 'pig', 'raccoon', 'leopard', 'humpback_whale']",6
awa_data\unseen\pig\pig_10002.jpg,pig_10002.jpg,pig,mouse,6,9,"['rat', 'leopard', 'raccoon', 'hippopotamus', 'pig']",6
awa_data\unseen\pig\pig_10003.jpg,pig_10003.jpg,pig,siamese_cat,6,13,"['persian_cat', 'humpback_whale', 'giant_panda', 'rat', 'pig']",6
awa_data\unseen\pig\pig_10004.jpg,pig_10004.jpg,pig,dolphin,6,4,"['humpback_whale', 'leopard', 'rat', 'raccoon', 'seal']",4
awa_data\unseen\pig\pig_10005.jpg,pig_10005.jpg,pig,cow,6,3,"['pig', 'raccoon', 'humpback_whale', 'rat', 'chimpanzee']",6
awa_data\unseen\pig\pig_10006.jpg,pig_10006.jpg,pig,siamese_cat,6,13,"['persian_cat', 'humpback_whale', 'giant_panda', 'rat', 'pig']",6
awa_data\unseen\pig\pig_10007.jpg,pig_10007.jpg,pig,lion,6,7,"['leopard', 'raccoon', 'giant_panda', 'persian_cat', 'chimpanzee']",7
awa_data\unseen\pig\pig_10008.jpg,pig_10008.jpg,pig,siamese_cat,6,13,"['persian_cat', 'humpback_whale', 'giant_panda', 'rat', 'pig']",6
awa_data\unseen\pig\pig_10009.jpg,pig_10009.jpg,pig,rhinoceros,6,12,"['raccoon', 'hippopotamus', 'humpback_whale', 'leopard', 'chimpanzee']",12
awa_data\unseen\pig\pig_10010.jpg,pig_10010.jpg,pig,rhinoceros,6,12,"['raccoon', 'hippopotamus', 'humpback_whale', 'leopard', 'chimpanzee']",12
awa_data\unseen\raccoon\raccoon_10001.jpg,raccoon_10001.jpg,raccoon,monkey,7,8,"['chimpanzee', 'rat', 'leopard', 'raccoon', 'giant_panda']",7
awa_data\unseen\raccoon\raccoon_10002.jpg,raccoon_10002.jpg,raccoon,siamese_cat,7,13,"['persian_cat', 'humpback_whale', 'giant_panda', 'rat', 'pig']",13
awa_data\unseen\raccoon\raccoon_10003.jpg,raccoon_10003.jpg,raccoon,bear,7,0,"['rat', 'pig', 'raccoon', 'leopard', 'humpback_whale']",7
awa_data\unseen\raccoon\raccoon_10004.jpg,raccoon_10004.jpg,raccoon,mouse,7,9,"['rat', 'leopard', 'raccoon', 'hippopotamus', 'pig']",7
awa_data\unseen\raccoon\raccoon_10005.jpg,raccoon_10005.jpg,raccoon,siamese_cat,7,13,"['persian_cat', 'humpback_whale', 'giant_panda', 'rat', 'pig']",13
awa_data\unseen\raccoon\raccoon_10006.jpg,raccoon_10006.jpg,raccoon,bear,7,0,"['rat', 'pig', 'raccoon', 'leopard', 'humpback_whale']",7
awa_data\unseen\raccoon\raccoon_10007.jpg,raccoon_10007.jpg,raccoon,siamese_cat,7,13,"['persian_cat', 'humpback_whale', 'giant_panda', 'rat', 'pig']",13
awa_data\unseen\raccoon\raccoon_10008.jpg,raccoon_10008.jpg,raccoon,squirrel,7,15,"['rat', 'raccoon', 'pig', 'chimpanzee', 'hippopotamus']",7
awa_data\unseen\raccoon\raccoon_10009.jpg,raccoon_10009.jpg,raccoon,walrus,7,17,"['humpback_whale', 'leopard', 'persian_cat', 'raccoon', 'rat']",7
awa_data\unseen\raccoon\raccoon_10010.jpg,raccoon_10010.jpg,raccoon,squirrel,7,15,"['rat', 'raccoon', 'pig', 'chimpanzee', 'hippopotamus']",7
awa_data\unseen\rat\rat_10001.jpg,rat_10001.jpg,rat,squirrel,8,15,"['rat', 'raccoon', 'pig', 'chimpanzee', 'hippopotamus']",8
awa_data\unseen\rat\rat_10002.jpg,rat_10002.jpg,rat,mouse,8,9,"['rat', 'leopard', 'raccoon', 'hippopotamus', 'pig']",8
awa_data\unseen\rat\rat_10003.jpg,rat_10003.jpg,rat,mouse,8,9,"['rat', 'leopard', 'raccoon', 'hippopotamus', 'pig']",8
awa_data\unseen\rat\rat_10004.jpg,rat_10004.jpg,rat,mouse,8,9,"['rat', 'leopard', 'raccoon', 'hippopotamus', 'pig']",8
awa_data\unseen\rat\rat_10005.jpg,rat_10005.jpg,rat,skunk,8,14,"['rat', 'raccoon', 'pig', 'hippopotamus', 'leopard']",8
awa_data\unseen\rat\rat_10006.jpg,rat_10006.jpg,rat,walrus,8,17,"['humpback_whale', 'leopard', 'persian_cat', 'raccoon', 'rat']",8
awa_data\unseen\rat\rat_10007.jpg,rat_10007.jpg,rat,walrus,8,17,"['humpback_whale', 'leopard', 'persian_cat', 'raccoon', 'rat']",8
awa_data\unseen\rat\rat_10008.jpg,rat_10008.jpg,rat,mouse,8,9,"['rat', 'leopard', 'raccoon', 'hippopotamus', 'pig']",8
awa_data\unseen\rat\rat_10009.jpg,rat_10009.jpg,rat,walrus,8,17,"['humpback_whale', 'leopard', 'persian_cat', 'raccoon', 'rat']",8
awa_data\unseen\rat\rat_10010.jpg,rat_10010.jpg,rat,walrus,8,17,"['humpback_whale', 'leopard', 'persian_cat', 'raccoon', 'rat']",8
awa_data\unseen\seal\seal_10001.jpg,seal_10001.jpg,seal,bear,9,0,"['rat', 'pig', 'raccoon', 'leopard', 'humpback_whale']",0
awa_data\unseen\seal\seal_10002.jpg,seal_10002.jpg,seal,rhinoceros,9,12,"['raccoon', 'hippopotamus', 'humpback_whale', 'leopard', 'chimpanzee']",12
awa_data\unseen\seal\seal_10003.jpg,seal_10003.jpg,seal,dolphin,9,4,"['humpback_whale', 'leopard', 'rat', 'raccoon', 'seal']",9
awa_data\unseen\seal\seal_10004.jpg,seal_10004.jpg,seal,dolphin,9,4,"['humpback_whale', 'leopard', 'rat', 'raccoon', 'seal']",9
awa_data\unseen\seal\seal_10005.jpg,seal_10005.jpg,seal,siamese_cat,9,13,"['persian_cat', 'humpback_whale', 'giant_panda', 'rat', 'pig']",13
awa_data\unseen\seal\seal_10006.jpg,seal_10006.jpg,seal,walrus,9,17,"['humpback_whale', 'leopard', 'persian_cat', 'raccoon', 'rat']",17
awa_data\unseen\seal\seal_10007.jpg,seal_10007.jpg,seal,skunk,9,14,"['rat', 'raccoon', 'pig', 'hippopotamus', 'leopard']",14
awa_data\unseen\seal\seal_10008.jpg,seal_10008.jpg,seal,mouse,9,9,"['rat', 'leopard', 'raccoon', 'hippopotamus', 'pig']",9
awa_data\unseen\seal\seal_10009.jpg,seal_10009.jpg,seal,walrus,9,17,"['humpback_whale', 'leopard', 'persian_cat', 'raccoon', 'rat']",17
awa_data\unseen\seal\seal_10010.jpg,seal_10010.jpg,seal,mouse,9,9,"['rat', 'leopard', 'raccoon', 'hippopotamus', 'pig']",9
